"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
-82.8824588427548,-167.302528032084,1.95340091879318,-2.84703800901115,"Encamped","Encamped",3600,1,1229,1229,2,1,4
-83.2416812958172,-167.764354706621,0.585085163115733,2.94463209679872,"Encamped","Encamped",3600,1,1230,1230,1,8,4
-82.2447732554418,-166.903104858372,1.31741297324466,2.94439242030329,"Encamped","Encamped",3600,1,1231,1231,2,8,4
-76.6230551476567,-174.908609470811,9.7822195121139,-1.67109487337764,"Transit","Encamped",3600,1,1232,1232,4,2,4
-77.1571585781544,-174.049051557829,1.01198136358291,3.08535521785421,"Encamped","Encamped",3600,1,1233,1233,1,8,4
-78.0888962126164,-173.258731950792,1.22177743502641,0.311351199153746,"Encamped","Encamped",3600,1,1234,1234,1,5,4
-77.8996506909886,-173.46955941091,0.283305639540879,3.00576219078914,"Encamped","Encamped",3600,1,1235,1235,1,8,4
-78.7062947067954,-170.500458814383,3.07672438163279,2.67536389119179,"Encamped","Encamped",3600,1,1236,1236,3,8,4
-78.5533279100469,-171.054737115745,0.574998501101578,-3.13759711697882,"Encamped","Encamped",3600,1,1237,1237,1,1,4
-78.0650546275759,-169.087214638173,2.02720386200507,2.62906815476982,"Encamped","Encamped",3600,1,1238,1238,2,8,4
-78.568942521801,-171.418508349792,2.38512753952076,-3.11120671028834,"Encamped","Encamped",3600,1,1239,1239,2,1,4
-77.4836453686073,-172.601367017741,1.60531135268935,0.955277460779162,"Encamped","Encamped",3600,1,1240,1240,2,6,4
-79.7277314739655,-170.198945347639,3.28748419452285,-3.13266863635848,"Encamped","Encamped",3600,1,1241,1241,3,1,4
-78.7284029392584,-171.250944076383,1.45098547393073,-3.13320009662508,"Encamped","Encamped",3600,1,1242,1242,2,1,4
-79.3576224434064,-170.327073946075,1.11778942653572,2.97977243524667,"Encamped","Encamped",3600,1,1243,1243,1,8,4
-77.9406234122155,-171.071027077136,1.60042260531784,-2.6521666042451,"Encamped","Encamped",3600,1,1244,1244,2,1,4
-79.2743369804625,-170.456577212275,1.46844833703948,-3.08985110624063,"Encamped","Encamped",3600,1,1245,1245,2,1,4
-78.6905942276321,-171.871804066915,1.53088949685298,2.39373006175408,"Encamped","Encamped",3600,1,1246,1246,2,8,4
-79.5501910148726,-170.944071211352,1.26475091932148,-2.78551018913061,"Encamped","Encamped",3600,1,1247,1247,1,1,4
-79.1375333113165,-171.306013609424,0.548897695227845,-3.03810981770518,"Encamped","Encamped",3600,1,1248,1248,1,1,4
-74.3824202905513,-178.733489715647,8.81921204806649,-0.281318585497841,"Transit","Encamped",3600,1,1249,1249,4,4,4
-75.0160877242166,-177.68480069152,1.22526857701161,3.11567011188148,"Encamped","Encamped",3600,1,1250,1250,1,8,4
-79.1416088801764,-168.224414783129,10.3207958193136,-0.132315454673191,"Transit","Encamped",3600,1,1251,1251,4,4,4
-78.9709812125755,-168.265279283152,0.175452866357448,-2.21708505993432,"Encamped","Encamped",3600,1,1252,1252,1,2,4
-79.5718614039038,-168.13900509677,0.614005028055264,-3.11365967719845,"Encamped","Encamped",3600,1,1253,1253,1,1,4
-77.3956347689849,-168.887975113487,2.3015035199782,3.01726461075283,"Encamped","Encamped",3600,1,1254,1254,2,8,4
-76.6074601592198,-167.835095030248,1.31520936932541,1.25966141634621,"Encamped","Encamped",3600,1,1255,1255,2,6,4
-76.9814649014788,-168.351663027608,0.637747632789807,-3.12565959144739,"Encamped","Encamped",3600,1,1256,1256,1,1,4
-76.3041649211405,-167.856093997113,0.839240089218713,2.82913575950509,"Encamped","Encamped",3600,1,1257,1257,1,8,4
-78.2903950508882,-169.317425694532,2.46588735715943,-3.13896116221218,"Encamped","Encamped",3600,1,1258,1258,2,1,4
-77.4996042380067,-168.688038499689,1.01068212152505,-3.10366563476557,"Encamped","Encamped",3600,1,1259,1259,1,1,4
-77.2798997154425,-170.563268319023,1.8880563954914,-2.1264001027553,"Encamped","Encamped",3600,1,1260,1260,2,2,4
-77.1721289334244,-170.127296553567,0.449094557673043,2.78262445110659,"Encamped","Encamped",3600,1,1261,1261,1,8,4
