,x,y,SL,TA,behav_fine,behav_coarse,HMM state,BCPA fine cluster,BCPA coarse cluster
3989,-144.9070394,-246.3355891,0.00617749,-3.102930452,Resting,Resting,Resting,75,30
3990,-143.6312991,-246.1259889,1.292843972,3.124422332,Resting,Resting,Resting,75,30
3991,-143.6312991,-246.1259889,1.41E-09,2.904659447,Resting,Resting,Resting,75,30
3992,-143.7253776,-245.9836845,0.170591011,-0.912561353,Exploratory,Resting,Resting,75,30
3993,-143.4028846,-246.6556001,0.745300125,3.004936668,Resting,Resting,Resting,75,30
3994,-143.4025362,-246.6553014,0.000458876,1.831991124,Resting,Resting,Resting,75,30
3995,-143.531468,-246.8089198,0.20055425,-2.97772796,Resting,Resting,Resting,75,30
3996,-143.531692,-246.8050104,0.003915829,-2.386106445,Resting,Resting,Resting,75,30
3997,-143.5310805,-246.8053642,0.000706461,-2.152597125,Resting,Resting,Resting,75,31
3998,-143.5202739,-246.9381091,0.13318406,-0.965002824,Resting,Resting,Resting,76,31
3999,-143.5202739,-246.9381084,7.32E-07,3.053658409,Resting,Resting,Resting,76,31
4000,-142.768734,-244.8251496,2.242633928,-0.335022871,Exploratory,Resting,Resting,76,31
4001,-143.1312754,-245.8920918,1.126854863,-3.127420069,Exploratory,Resting,Resting,76,31
4002,-152.6900568,-251.6226609,11.14494171,-0.703183905,Transit,Transit,Transit,76,31
4003,-154.9097999,-239.1330726,12.68530941,-1.934963355,Transit,Transit,Transit,76,31
4004,-155.0438749,-227.0631624,12.07065492,-0.164783132,Transit,Transit,Transit,76,31
4005,-157.9421943,-219.5538709,8.04920581,0.357240766,Transit,Transit,Transit,76,31
4006,-160.6409578,-214.4633021,5.761702433,0.119126924,Transit,Transit,Transit,76,31
4007,-169.3320721,-202.349196,14.90929355,0.134857961,Transit,Transit,Transit,76,31
4008,-175.9565639,-194.0274282,10.63652722,0.049990583,Transit,Transit,Transit,76,31
4009,-182.2478283,-188.8415842,8.153096728,0.20909325,Transit,Transit,Transit,76,31
4010,-189.1675881,-187.686069,7.015574833,0.523918025,Transit,Transit,Transit,76,31
4011,-202.1615254,-187.587221,12.99431327,0.157853993,Transit,Transit,Transit,76,31
4012,-210.4928386,-184.5993694,8.850877826,-0.336734372,Transit,Transit,Transit,76,31
4013,-221.897112,-179.8087982,12.36960076,-0.053344409,Transit,Transit,Transit,76,31
4014,-230.3210743,-173.0899014,10.77528264,-0.275585909,Transit,Transit,Transit,76,31
