"id","bin","behav","prop","param"
"3_2",4,"2",0.0297122093440514,"Step Length"
"3_2",5,"2",0.0354519259010614,"Step Length"
"3_2",1,"3",0.000409165032036991,"Step Length"
"3_2",2,"3",0.000501373682490336,"Step Length"
"3_2",3,"3",0.000418702447552699,"Step Length"
"3_2",4,"3",0.565485823203001,"Step Length"
"3_2",5,"3",0.433184935634919,"Step Length"
"3_2",1,"1",0.144272807761011,"Turning Angle"
"3_2",2,"1",0.0990150483550301,"Turning Angle"
"3_2",3,"1",0.109538773523774,"Turning Angle"
"3_2",4,"1",0.165190354887204,"Turning Angle"
"3_2",5,"1",0.141689315903465,"Turning Angle"
"3_2",6,"1",0.101993738572847,"Turning Angle"
"3_2",7,"1",0.116662407736137,"Turning Angle"
"3_2",8,"1",0.121637553260532,"Turning Angle"
"3_2",1,"2",0.421185756652346,"Turning Angle"
"3_2",2,"2",0.0369546361157238,"Turning Angle"
"3_2",3,"2",0.0134467545634313,"Turning Angle"
"3_2",4,"2",0.0123723674916178,"Turning Angle"
"3_2",5,"2",0.0290260729910171,"Turning Angle"
"3_2",6,"2",0.00332142867138769,"Turning Angle"
"3_2",7,"2",0.0280559090645879,"Turning Angle"
"3_2",8,"2",0.455637074449888,"Turning Angle"
"3_2",1,"3",0.00121386763306322,"Turning Angle"
"3_2",2,"3",0.0137762593328895,"Turning Angle"
"3_2",3,"3",0.0465369422236251,"Turning Angle"
"3_2",4,"3",0.438142633213752,"Turning Angle"
"3_2",5,"3",0.420937938597746,"Turning Angle"
"3_2",6,"3",0.057694536056396,"Turning Angle"
"3_2",7,"3",0.0135176997518874,"Turning Angle"
"3_2",8,"3",0.00818012319064108,"Turning Angle"
"4_2",1,"1",0.0252437329224313,"Step Length"
"4_2",2,"1",0.250047273092836,"Step Length"
"4_2",3,"1",0.605428528919097,"Step Length"
"4_2",4,"1",0.0898153480959347,"Step Length"
"4_2",5,"1",0.0294651169697007,"Step Length"
"4_2",1,"2",0.564851842921635,"Step Length"
"4_2",2,"2",0.399119062100839,"Step Length"
"4_2",3,"2",0.000435461044097415,"Step Length"
"4_2",4,"2",0.0137013919914033,"Step Length"
"4_2",5,"2",0.0218922419420261,"Step Length"
"4_2",1,"3",0.000210817524993465,"Step Length"
"4_2",2,"3",0.000116977921474724,"Step Length"
"4_2",3,"3",0.0010696519884229,"Step Length"
"4_2",4,"3",0.54396628206834,"Step Length"
"4_2",5,"3",0.454636270496769,"Step Length"
"4_2",1,"1",0.11838830632258,"Turning Angle"
"4_2",2,"1",0.104204447869048,"Turning Angle"
"4_2",3,"1",0.127870819419355,"Turning Angle"
"4_2",4,"1",0.141090974872142,"Turning Angle"
"4_2",5,"1",0.138112241083136,"Turning Angle"
"4_2",6,"1",0.110135870354232,"Turning Angle"
"4_2",7,"1",0.120361320574673,"Turning Angle"
"4_2",8,"1",0.139836019504835,"Turning Angle"
"4_2",1,"2",0.466664780750128,"Turning Angle"
"4_2",2,"2",0.0380607577541628,"Turning Angle"
"4_2",3,"2",0.00106668422113154,"Turning Angle"
"4_2",4,"2",0.018023291579582,"Turning Angle"
"4_2",5,"2",0.0168519051800969,"Turning Angle"
"4_2",6,"2",0.00105344597600969,"Turning Angle"
"4_2",7,"2",0.0267063393306133,"Turning Angle"
"4_2",8,"2",0.431572795208275,"Turning Angle"
"4_2",1,"3",0.000576717124027646,"Turning Angle"
"4_2",2,"3",0.00477895783025874,"Turning Angle"
"4_2",3,"3",0.0515214734444078,"Turning Angle"
"4_2",4,"3",0.46252444040013,"Turning Angle"
"4_2",5,"3",0.422716859798679,"Turning Angle"
"4_2",6,"3",0.041597143534175,"Turning Angle"
"4_2",7,"3",0.014441888204113,"Turning Angle"
"4_2",8,"3",0.00184251966420845,"Turning Angle"
"5_2",1,"1",0.0405395514335054,"Step Length"
"5_2",2,"1",0.258023189410627,"Step Length"
"5_2",3,"1",0.605184510874998,"Step Length"
"5_2",4,"1",0.0802728488884666,"Step Length"
"5_2",5,"1",0.0159798993924023,"Step Length"
"5_2",1,"2",0.00311261954299276,"Step Length"
"5_2",2,"2",0.000460915718259382,"Step Length"
"5_2",3,"2",0.000397079127424735,"Step Length"
"5_2",4,"2",0.567842600131734,"Step Length"
"5_2",5,"2",0.428186785479589,"Step Length"
"5_2",1,"3",0.640132629168004,"Step Length"
"5_2",2,"3",0.35671040600272,"Step Length"
"5_2",3,"3",0.00188110545409576,"Step Length"
"5_2",4,"3",0.0006174919626615,"Step Length"
"5_2",5,"3",0.000658367412519139,"Step Length"
"5_2",1,"1",0.133667107859383,"Turning Angle"
"5_2",2,"1",0.120206631166559,"Turning Angle"
"5_2",3,"1",0.108570297614466,"Turning Angle"
"5_2",4,"1",0.115147967933631,"Turning Angle"
"5_2",5,"1",0.127292524659347,"Turning Angle"
"5_2",6,"1",0.120879975800693,"Turning Angle"
"5_2",7,"1",0.129605645871435,"Turning Angle"
"5_2",8,"1",0.144629849094487,"Turning Angle"
"5_2",1,"2",0.00316825977504853,"Turning Angle"
"5_2",2,"2",0.0192845860687565,"Turning Angle"
"5_2",3,"2",0.0288961481079254,"Turning Angle"
"5_2",4,"2",0.442690186406825,"Turning Angle"
"5_2",5,"2",0.435285289443152,"Turning Angle"
"5_2",6,"2",0.0493290363486042,"Turning Angle"
"5_2",7,"2",0.00888274955830452,"Turning Angle"
"5_2",8,"2",0.0124637442913829,"Turning Angle"
"5_2",1,"3",0.491833468274109,"Turning Angle"
"5_2",2,"3",0.0448339300372998,"Turning Angle"
"5_2",3,"3",0.00128729766887547,"Turning Angle"
"5_2",4,"3",0.00131720593139496,"Turning Angle"
"5_2",5,"3",0.00431934009870655,"Turning Angle"
"5_2",6,"3",0.00368151402727926,"Turning Angle"
